entity_id,decision_count,unique_current_price_count,unique_applied_price_count,min_applied_price,max_applied_price,mean_applied_price,std_applied_price,applied_price_range,applied_price_cv,pct_changed
BRA000001,155,65,126,155.81,336.97,224.07587096774205,38.5630474624808,181.16,0.17209817057023663,0.800000000000000000000
BRA000002,828,87,560,34.74,225.82,76.18520531400974,35.96879055728265,191.08,0.47212303765582075,0.817632850241545893719
BRA000003,150,73,134,171.74,729.26,446.55713333333335,161.50275164334315,557.52,0.3616620127368767,0.813333333333333333333
BRA000004,154,77,145,56.98,273.34,122.66733766233766,44.295049946110055,216.36,0.3610989754097344,0.837662337662337662337
BRA000005,881,105,428,29.06,276.98,57.52982973893303,53.22757156854536,247.92,0.9252169146004592,0.853575482406356413166
BRA000006,419,171,382,114.05,424.12,263.9340095465395,57.3530454521909,310.07,0.21730070160616352,0.837708830548926014319
BRA000007,158,74,135,84.46,300.64,159.456075949367,49.53811761265948,216.18,0.310669363445201,0.848101265822784810126
BRA000008,373,123,309,123.25,258.37,176.63260053619297,35.878484753666584,135.12,0.20312493075883176,0.806970509383378016085
BRA000009,116,62,102,38.04,234.77,96.9654310344828,66.06326257120301,196.73,0.6813073676505355,0.879310344827586206896
BRA000010,630,167,493,54.58,530.59,137.74157142857143,100.22243145703975,476.01,0.7276120812155249,0.877777777777777777777
BRA000011,220,90,187,152.16,278.45,223.55140909090906,36.69389713626125,126.29,0.1641407552986587,0.881818181818181818181
BRA000012,224,107,195,5.24,160.47,72.07874999999997,45.07806309527425,155.23,0.625400178211668,0.910714285714285714285
BRA000013,231,101,188,9.18,145.63,63.072380952380975,34.489676072859275,136.45,0.5468269241159398,0.865800865800865800865
BRA000014,12,5,9,14.25,47.60,38.7275,8.436298331937682,33.35,0.21783741093377268,0.916666666666666666666
BRA000015,316,61,256,11.79,76.29,57.46987341772154,17.08063962920169,64.50,0.29721032279035203,0.882911392405063291139
BRA000016,301,149,262,99.06,300.86,189.84797342192704,55.15558889975947,201.80,0.2905250338236643,0.843853820598006644518
BRA000017,139,67,122,32.90,182.78,94.73410071942448,39.96674621016157,149.88,0.4218834179735524,0.877697841726618705035
BRA000018,398,160,349,11.57,165.52,77.3643969849246,29.437728871663982,153.95,0.38050744294433375,0.814070351758793969849
BRA000019,35,20,33,96.01,179.40,136.87885714285716,26.63410449376652,83.39,0.19458158147805946,0.914285714285714285714
BRA000020,379,122,342,55.73,615.00,201.47989445910287,130.72742543286884,559.27,0.6488360825472061,0.857519788918205804749
BRA000021,25,14,22,115.32,239.95,153.23240000000004,38.60548765827621,124.63,0.25194076225573836,1.000000000000000000000
BRA000022,841,88,572,105.49,232.57,155.09846611177193,30.999387288899015,127.08,0.19986907714844365,0.873959571938168846611
BRA000023,86,61,80,59.16,317.88,151.84883720930236,90.08464490713037,258.72,0.5932521220624252,0.860465116279069767441
BRA000024,30,21,29,34.40,214.44,102.67733333333335,59.18676459301099,180.04,0.576434571015456,0.900000000000000000000
BRA000025,186,75,157,10.65,102.03,45.72919354838711,24.25391311743906,91.38,0.5303813873685622,0.876344086021505376344
BRA000026,78,44,69,75.89,162.08,110.14166666666668,26.26559832990106,86.19,0.2384710448352975,0.858974358974358974358
BRA000027,41,28,39,5.33,40.07,21.05804878048781,8.948645489545383,34.74,0.42495131352516924,0.878048780487804878048
BRA000028,348,152,287,16.27,193.99,63.25169540229889,34.811948953092404,177.72,0.5503717921184317,0.847701149425287356321
BRA000029,71,37,61,135.31,293.62,197.16633802816892,41.55045570454763,158.31,0.21073808095280122,0.802816901408450704225
BRA000030,80,35,70,14.57,77.24,49.85949999999999,17.523300936073753,62.67,0.35145360334687986,0.900000000000000000000
BRA000031,387,161,355,105.01,536.69,303.05498708010333,137.4038464862236,431.68,0.45339576098084505,0.847545219638242894056
BRA000032,285,105,257,212.31,448.23,319.168210526316,45.994785420424634,235.92,0.14410829118782895,0.901754385964912280701
BRA000033,352,114,288,66.53,275.16,164.07622159090923,54.10777130239731,208.63,0.3297721679458469,0.826704545454545454545
BRA000034,245,44,196,196.99,396.60,288.53473469387757,33.686136839889485,199.61,0.11674898301457177,0.832653061224489795918
BRA000035,164,76,150,47.52,146.27,80.4326829268292,24.85242062984334,98.75,0.3089841060312753,0.823170731707317073170
BRA000036,299,93,255,108.21,317.04,154.84441471571913,47.11880749809121,208.83,0.3042977532292478,0.859531772575250836120
BRA000037,314,95,224,11.83,133.82,49.16267515923568,28.15699818542926,121.99,0.5727312050092883,0.859872611464968152866
BRA000038,660,171,528,85.33,644.25,277.2861363636362,152.88298986200775,558.92,0.5513546110416254,0.865151515151515151515
BRA000039,13,7,11,39.54,63.77,55.66999999999999,8.083490376481425,24.23,0.14520370713995737,0.769230769230769230769
BRA000040,103,57,83,11.85,201.47,69.7940776699029,58.725781632155716,189.62,0.8414149680421934,0.834951456310679611650
BRA000041,178,92,153,131.07,279.20,192.37275280898885,30.208913354364654,148.13,0.1570332228096759,0.865168539325842696629
BRA000042,116,36,98,142.30,274.81,215.96465517241384,29.861567751471107,132.51,0.13827062455025957,0.862068965517241379310
BRA000043,262,145,241,94.51,536.49,249.26568702290066,114.3154275551312,441.98,0.4586087596750882,0.870229007633587786259
BRA000044,51,32,50,98.86,182.56,138.44588235294114,24.167937866228662,83.70,0.17456595642633238,0.784313725490196078431
BRA000045,192,100,166,68.11,291.61,139.10552083333332,54.13920137369746,223.50,0.38919520267325214,0.843750000000000000000
BRA000046,62,32,59,156.31,366.16,209.44306451612903,48.122325025549394,209.85,0.2297632778470138,0.838709677419354838709
BRA000047,325,94,261,140.95,603.70,336.6277846153844,106.80284036434522,462.75,0.31727280172779937,0.843076923076923076923
BRA000048,455,170,402,65.58,329.60,179.49756043956054,69.57740444450073,264.02,0.3876231201923686,0.861538461538461538461
BRA000049,291,121,268,101.39,527.50,252.1123024054982,117.928752581253,426.11,0.46776278450535913,0.852233676975945017182
BRA000050,427,127,355,100.49,398.11,220.07676814988275,59.132343860781134,297.62,0.26868962297969223,0.850117096018735362997
BRA000051,106,50,93,41.44,138.52,83.58688679245284,28.434921097739654,97.08,0.3401839952281495,0.830188679245283018867
BRA000052,262,115,228,4.16,129.08,75.81706106870224,42.011717761365496,124.92,0.5541195763747191,0.843511450381679389312
BRA000053,360,118,294,22.39,181.74,77.84766666666664,42.884478918891475,159.35,0.5508768695986369,0.888888888888888888888
BRA000054,309,133,264,63.68,250.31,139.748284789644,48.90310465375169,186.63,0.3499370652553128,0.864077669902912621359
BRA000055,30,16,29,45.04,98.32,84.82233333333333,17.60331604406188,53.28,0.20753161758572092,0.833333333333333333333
BRA000056,93,58,86,247.30,587.73,414.92064516129017,67.7111649615403,340.43,0.16319063838151332,0.774193548387096774193
BRA000057,104,54,95,101.97,315.14,163.8698076923077,57.77332920087734,213.17,0.3525562763175764,0.913461538461538461538
BRA000058,109,60,103,204.34,411.92,285.1609174311926,60.19906727684755,207.58,0.21110560247574311,0.871559633027522935779
BRA000059,182,61,114,30.82,257.47,91.27862637362632,79.27418696585421,226.65,0.868485757458324,0.923076923076923076923
