dimension,unique_values,row_coverage,min_observations,median_observations,p90_observations,max_observations,singleton_count,low_frequency_count
ProductID,2671,35000,1,6.0,26.0,670,257,1058
CategoryID,70,35000,151,471.0,860.0,1003,0,0
BrandID,150,35000,1,220.0,432.29999999999995,881,1,1
StoreID,49,35000,412,708.0,886.8,1219,0,0
RegionID,10,35000,1955,3498.5,4470.1,4705,0,0
Channel,6,35000,968,5014.0,10649.5,14028,0,0
CustomerSegment,8,35000,1325,4501.0,6442.8,7168,0,0
LoyaltyTier,4,35000,3216,9025.5,13135.1,13733,0,0
Season,5,35000,3814,4845.0,11899.599999999995,15708,0,0
PromotionID,200,8173,5,35.5,79.0,123,0,0
