entity_id,decisions,covered_decisions,coverage_rate
CAT000011,910,55,0.060439
CAT000012,1003,51,0.050847
CAT000013,639,13,0.020344
CAT000014,962,37,0.038461
CAT000015,629,23,0.036565
CAT000016,692,27,0.039017
CAT000017,860,56,0.065116
CAT000018,676,17,0.025147
CAT000019,969,109,0.112487
CAT000020,501,14,0.027944
CAT000021,860,30,0.034883
CAT000022,639,22,0.034428
CAT000023,471,19,0.040339
CAT000024,871,48,0.055109
CAT000025,345,12,0.034782
CAT000026,357,7,0.019607
CAT000027,410,11,0.026829
CAT000028,387,16,0.041343
CAT000029,395,16,0.040506
CAT000030,503,15,0.029821
CAT000031,310,4,0.012903
CAT000032,298,11,0.036912
CAT000033,375,11,0.029333
CAT000034,515,11,0.021359
CAT000035,315,12,0.038095
CAT000036,333,4,0.012012
CAT000037,588,56,0.095238
CAT000038,526,29,0.055133
CAT000039,471,14,0.029723
CAT000040,431,16,0.037122
CAT000041,611,27,0.044189
CAT000042,479,19,0.039665
CAT000043,745,23,0.030872
CAT000044,473,13,0.027484
CAT000045,721,39,0.054091
CAT000046,599,25,0.041736
CAT000047,653,70,0.107197
CAT000048,759,40,0.052700
CAT000049,552,26,0.047101
CAT000050,728,33,0.045329
CAT000051,502,20,0.039840
CAT000052,805,24,0.029813
CAT000053,188,4,0.021276
CAT000054,254,11,0.043307
CAT000055,151,7,0.046357
CAT000056,284,18,0.063380
CAT000057,722,119,0.164819
CAT000058,337,13,0.038575
CAT000059,345,27,0.078260
CAT000060,234,15,0.064102
CAT000061,319,19,0.059561
CAT000062,439,62,0.141230
CAT000063,251,43,0.171314
CAT000064,833,320,0.384153
CAT000065,902,224,0.248337
CAT000066,359,35,0.097493
CAT000067,268,5,0.018656
CAT000068,155,4,0.025806
CAT000069,270,15,0.055555
CAT000070,257,28,0.108949
CAT000071,153,9,0.058823
CAT000072,184,4,0.021739
CAT000073,359,18,0.050139
CAT000074,613,35,0.057096
CAT000075,386,19,0.049222
CAT000076,203,9,0.044334
CAT000077,585,55,0.094017
CAT000078,307,14,0.045602
CAT000079,403,21,0.052109
CAT000080,371,21,0.056603
