entity_id,decisions,covered_decisions,coverage_rate
PRO000001,263,25,0.095057
PRO000002,13,0,0.000000
PRO000003,7,0,0.000000
PRO000004,3,0,0.000000
PRO000005,3,0,0.000000
PRO000006,7,0,0.000000
PRO000007,5,0,0.000000
PRO000008,8,0,0.000000
PRO000009,10,2,0.200000
PRO000010,10,0,0.000000
PRO000012,22,4,0.181818
PRO000013,20,0,0.000000
PRO000014,8,0,0.000000
PRO000015,4,0,0.000000
PRO000016,10,0,0.000000
PRO000017,16,0,0.000000
PRO000018,8,0,0.000000
PRO000019,20,0,0.000000
PRO000021,21,0,0.000000
PRO000022,2,0,0.000000
PRO000023,2,0,0.000000
PRO000024,3,0,0.000000
PRO000025,3,0,0.000000
PRO000026,7,2,0.285714
PRO000027,40,1,0.025000
PRO000028,53,3,0.056603
PRO000029,16,0,0.000000
PRO000030,2,1,0.500000
PRO000031,3,0,0.000000
PRO000032,3,0,0.000000
PRO000033,3,0,0.000000
PRO000034,26,0,0.000000
PRO000035,13,2,0.153846
PRO000036,2,0,0.000000
PRO000037,4,0,0.000000
PRO000038,6,0,0.000000
PRO000039,17,1,0.058823
PRO000040,7,1,0.142857
PRO000041,7,0,0.000000
PRO000042,97,3,0.030927
PRO000043,42,4,0.095238
PRO000044,1,0,0.000000
PRO000045,8,0,0.000000
PRO000046,4,0,0.000000
PRO000047,7,0,0.000000
PRO000048,11,0,0.000000
PRO000049,16,0,0.000000
PRO000050,4,0,0.000000
PRO000051,8,0,0.000000
PRO000052,7,0,0.000000
PRO000053,28,6,0.214285
PRO000054,1,0,0.000000
PRO000055,3,0,0.000000
PRO000056,9,0,0.000000
PRO000057,10,0,0.000000
PRO000058,60,2,0.033333
PRO000059,4,0,0.000000
PRO000061,3,0,0.000000
PRO000064,5,0,0.000000
PRO000065,3,0,0.000000
PRO000066,3,0,0.000000
PRO000067,13,0,0.000000
PRO000068,7,0,0.000000
PRO000069,6,0,0.000000
PRO000070,20,2,0.100000
PRO000071,7,2,0.285714
PRO000072,9,0,0.000000
