source_table,column,classification,allowed_purchase_model,allowed_quantity_model,allowed_optimizer,available_at_decision_time,leakage_risk,privacy_risk,reason,notes
Brand,BrandID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Brand,BrandName,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,LOW,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Brand,BrandTier,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Brand,ActiveFlag,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Browsing_Events,EventID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Browsing_Events,SessionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Browsing_Events,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Browsing_Events,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Browsing_Events,EventTime,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Browsing_Events,DurationSec,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Browsing_Events,Channel,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Browsing_Events,DeviceType,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Cart_Events,CartEventID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Cart_Events,SessionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Cart_Events,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Cart_Events,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Cart_Events,Action,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Cart_Events,EventTime,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Cart_Events,Quantity,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Cart_Events,UnitPrice,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
