source_table,column_name,row_count,null_count,distinct_count,null_percentage
Pricing_Decision_Log,DecisionTime,35000,0,34907,0.0
Pricing_Decision_Log,CustomerID,35000,0,3850,0.0
Pricing_Decision_Log,SessionID,35000,3442,18267,9.834285714285715
Pricing_Decision_Log,ProductID,35000,0,2671,0.0
Pricing_Decision_Log,StoreID,35000,0,49,0.0
Pricing_Decision_Log,Channel,35000,0,6,0.0
Pricing_Decision_Log,CurrentPrice,35000,0,10682,0.0
Pricing_Decision_Log,AppliedPrice,35000,0,19382,0.0
Pricing_Decision_Log,PurchasedFlag,35000,0,2,0.0
Product,CategoryID,3000,0,70,0.0
Product,BrandID,3000,0,150,0.0
Product,BasePrice,3000,0,2853,0.0
Product,CostPrice,3000,0,2748,0.0
Product,MarginPct,3000,0,1800,0.0
Product,Season,3000,0,5,0.0
Customer,RegionID,5000,0,10,0.0
Customer,LoyaltyTier,5000,0,4,0.0
Customer,CustomerSegment,5000,0,8,0.0
Customer,PreferredChannel,5000,0,4,0.0
Customer_Preferences,PriceSensitivity,5000,0,3,0.0
Customer_Preferences,CategoryAffinityScore,5000,0,4730,0.0
Customer_Preferences,BrandAffinityScore,5000,0,4725,0.0
