source_table,column_name,non_null_count,min_value,max_value,mean_value,std_value,p01,p05,p50,p95,p99
Pricing_Decision_Log,CurrentPrice,35000,3.81,682.62,149.09077714285786,103.80874424479441,12.98,29.1995,129.45,338.35,499.59020000000004
Pricing_Decision_Log,AppliedPrice,35000,4.16,729.26,151.24586857142984,104.74779513805899,13.5999,29.33,131.89,341.2305,508.63290000000063
Product,BasePrice,3000,4.15,668.11,155.28982666666684,108.97082079911,12.8997,26.498,131.835,365.7704999999997,521.0383999999997
Product,CostPrice,3000,2.04,426.46,90.97062333333325,65.8649081829982,7.3395,15.1385,77.035,219.77099999999973,317.49199999999996
Product,MarginPct,3000,28.03,54.99,41.5524333333333,7.822077020109629,28.27,29.26,41.74,53.7005,54.770100000000006
Customer_Preferences,CategoryAffinityScore,5000,0.55004,0.97999,0.7652380280000003,0.12413442581848823,0.5551498,0.5714195000000001,0.7632300000000001,0.957954,0.9753815000000001
Customer_Preferences,BrandAffinityScore,5000,0.50009,0.95,0.7241017260000026,0.1296552567858332,0.5040792,0.522617,0.723535,0.9278280000000001,0.9452900999999999
Competitor_Price,CompetitorPrice,40000,2.67,777.7,148.8699585000003,107.2909593275314,11.199499999999999,24.4995,126.33,348.18,509.97050000000013
Product_Price_History,BasePrice,50000,4.15,668.11,155.56091019999832,107.49990091586389,12.05,26.78,132.92,359.18,510.46
Product_Price_History,SellingPrice,50000,3.73,686.31,155.22369460000044,107.67127485995691,12.0199,26.549500000000002,132.51,361.8905,509.01040000000006
Product_Price_History,DiscountPct,50000,0.0,23.79,2.1508757999999695,3.8660847811714154,0.0,0.0,0.0,10.92,16.05
