probability_decile,decision_count,min_probability,max_probability,mean_probability,purchase_count,purchase_rate
1,3500,0.03584,0.09872,0.08508984571428577,311,0.08885714285714286
2,3500,0.09872,0.11644,0.10801799142857134,405,0.11571428571428571
3,3500,0.11644,0.13215,0.12424827428571412,434,0.124
4,3500,0.13215,0.14864,0.1403139428571428,489,0.1397142857142857
5,3500,0.14864,0.16820,0.15813941714285729,584,0.16685714285714287
6,3500,0.16820,0.19132,0.17933294285714346,633,0.18085714285714286
7,3500,0.19133,0.21975,0.2049613228571421,728,0.208
8,3500,0.21976,0.25164,0.2353299114285714,810,0.23142857142857143
9,3500,0.25166,0.29220,0.2709919542857144,952,0.272
10,3500,0.29223,0.53477,0.3324185542857149,1146,0.3274285714285714
