segment_type,segment_value,decision_count,purchase_count,purchase_rate
month,2025-09,2836,487,0.1717207334273625
month,2025-06,2839,485,0.17083480098626277
month,2025-10,3023,535,0.17697651339728745
month,2025-02,2604,517,0.19854070660522274
month,2025-07,2975,546,0.18352941176470589
month,2025-03,2688,490,0.18229166666666666
month,2025-04,2855,541,0.18949211908931698
month,2025-11,3164,578,0.18268015170670038
month,2025-01,2731,616,0.2255584035151959
month,2025-12,3607,676,0.1874133629054616
month,2025-08,2882,552,0.19153365718251214
month,2025-05,2796,469,0.16773962804005724
channel,Online,968,184,0.19008264462809918
channel,Web,5273,1014,0.19230039825526266
channel,Kiosk,4755,854,0.17960042060988432
channel,Store,2705,455,0.16820702402957485
channel,Email,7271,1366,0.1878696190345207
channel,Mobile,14028,2619,0.18669803250641573
store,STO000030,821,154,0.18757612667478685
store,STO000020,752,127,0.16888297872340424
store,STO000008,626,96,0.15335463258785942
store,STO000007,532,106,0.19924812030075187
store,STO000048,603,107,0.17744610281923714
store,STO000045,588,111,0.18877551020408162
store,STO000050,866,180,0.20785219399538107
store,STO000047,638,133,0.2084639498432602
store,STO000032,804,149,0.1853233830845771
store,STO000039,702,146,0.20797720797720798
store,STO000005,568,101,0.17781690140845072
store,STO000044,1219,209,0.17145200984413453
store,STO000014,813,143,0.17589175891758918
store,STO000031,746,124,0.16621983914209115
store,STO000021,737,149,0.2021709633649932
store,STO000043,698,127,0.1819484240687679
store,STO000015,692,133,0.19219653179190752
store,STO000013,493,96,0.1947261663286004
store,STO000009,708,128,0.1807909604519774
store,STO000017,871,156,0.1791044776119403
store,STO000001,547,97,0.1773308957952468
store,STO000016,1024,184,0.1796875
store,STO000022,703,134,0.1906116642958748
store,STO000046,624,129,0.20673076923076922
store,STO000029,790,147,0.1860759493670886
store,STO000038,753,134,0.17795484727755645
store,STO000035,740,154,0.20810810810810812
store,STO000002,412,94,0.22815533980582525
store,STO000040,634,113,0.17823343848580442
store,STO000037,1080,209,0.1935185185185185
