table,column,status,row_count,min_timestamp,max_timestamp,distinct_active_dates,max_gap_days
Browsing_Events,EventTime,AVAILABLE,45000,2025-01-01 09:02:17,2025-12-31 23:59:39,365,1
Cart_Events,EventTime,AVAILABLE,12000,2025-01-01 09:36:22,2025-12-31 22:03:03,365,1
Competitor_Price,ObservedDateTime,AVAILABLE,40000,2025-01-01 07:10:51,2025-12-31 22:54:02,365,1
Pricing_Decision_Log,DecisionTime,AVAILABLE,35000,2025-01-01 08:12:26,2025-12-31 23:59:39,365,1
Pricing_Decision_Log,OutcomeTime,AVAILABLE,35000,2025-01-01 13:53:16,2026-01-08 18:06:35,373,1
Product_Price_History,EffectiveFrom,AVAILABLE,50000,2025-01-01 00:00:00,2025-10-01 00:00:00,6,91
Product_Price_History,EffectiveTo,AVAILABLE,50000,2025-04-02 00:00:00,2025-10-01 00:00:00,5,61
Promotions,StartDate,AVAILABLE,200,2025-01-01,2025-12-30,152,10
Promotions,EndDate,AVAILABLE,200,2025-01-08,2025-12-31,142,12
Ratings,RatingDate,AVAILABLE,5000,2025-01-02,2025-12-31,364,1
Recommendation_Log,ServedTime,AVAILABLE,25000,2025-01-01 10:00:00,2025-12-31 22:01:22,365,1
Recommendation_Response,ResponseTime,AVAILABLE,25000,2025-01-01 10:07:00,2025-12-31 23:05:40,365,1
Sales_Order,OrderDate,AVAILABLE,12000,2025-01-01,2025-12-31,365,1
Search_Events,EventTime,AVAILABLE,12000,2025-01-01 08:37:28,2025-12-31 23:54:04,365,1
Weather,Date,AVAILABLE,3650,2025-01-01,2025-12-31,365,1
Wishlist,AddedDate,AVAILABLE,5000,2025-01-01,2025-12-31,365,1
Wishlist,RemovedDate,AVAILABLE,5000,2025-01-03,2025-12-31,358,2
Customer,CreatedDate,AVAILABLE,5000,2018-01-01,2025-12-30,2409,5
Inventory,SnapshotDate,AVAILABLE,15000,2025-12-31,2025-12-31,1,
Holiday,Date,AVAILABLE,80,2025-01-01,2025-12-25,69,25
