source_table,source_column,month,row_count
Browsing_Events,EventTime,2025-01,3581
Browsing_Events,EventTime,2025-02,3251
Browsing_Events,EventTime,2025-03,3496
Browsing_Events,EventTime,2025-04,3569
Browsing_Events,EventTime,2025-05,3674
Browsing_Events,EventTime,2025-06,3637
Browsing_Events,EventTime,2025-07,3728
Browsing_Events,EventTime,2025-08,3755
Browsing_Events,EventTime,2025-09,3719
Browsing_Events,EventTime,2025-10,3903
Browsing_Events,EventTime,2025-11,4016
Browsing_Events,EventTime,2025-12,4671
Cart_Events,EventTime,2025-01,928
Cart_Events,EventTime,2025-02,926
Cart_Events,EventTime,2025-03,879
Cart_Events,EventTime,2025-04,1019
Cart_Events,EventTime,2025-05,976
Cart_Events,EventTime,2025-06,1004
Cart_Events,EventTime,2025-07,1084
Cart_Events,EventTime,2025-08,1001
Cart_Events,EventTime,2025-09,938
Cart_Events,EventTime,2025-10,970
Cart_Events,EventTime,2025-11,1042
Cart_Events,EventTime,2025-12,1233
Competitor_Price,ObservedDateTime,2025-01,3358
Competitor_Price,ObservedDateTime,2025-02,3101
Competitor_Price,ObservedDateTime,2025-03,3402
Competitor_Price,ObservedDateTime,2025-04,3298
Competitor_Price,ObservedDateTime,2025-05,3393
Competitor_Price,ObservedDateTime,2025-06,3265
Competitor_Price,ObservedDateTime,2025-07,3382
Competitor_Price,ObservedDateTime,2025-08,3507
Competitor_Price,ObservedDateTime,2025-09,3295
Competitor_Price,ObservedDateTime,2025-10,3501
Competitor_Price,ObservedDateTime,2025-11,3221
Competitor_Price,ObservedDateTime,2025-12,3277
Pricing_Decision_Log,DecisionTime,2025-01,2731
Pricing_Decision_Log,DecisionTime,2025-02,2604
Pricing_Decision_Log,DecisionTime,2025-03,2688
Pricing_Decision_Log,DecisionTime,2025-04,2855
Pricing_Decision_Log,DecisionTime,2025-05,2796
Pricing_Decision_Log,DecisionTime,2025-06,2839
Pricing_Decision_Log,DecisionTime,2025-07,2975
Pricing_Decision_Log,DecisionTime,2025-08,2882
Pricing_Decision_Log,DecisionTime,2025-09,2836
Pricing_Decision_Log,DecisionTime,2025-10,3023
Pricing_Decision_Log,DecisionTime,2025-11,3164
Pricing_Decision_Log,DecisionTime,2025-12,3607
Pricing_Decision_Log,OutcomeTime,2025-01,2411
Pricing_Decision_Log,OutcomeTime,2025-02,2498
Pricing_Decision_Log,OutcomeTime,2025-03,2756
Pricing_Decision_Log,OutcomeTime,2025-04,2844
Pricing_Decision_Log,OutcomeTime,2025-05,2788
