feature_name,feature_group,row_count,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,nan_count,pos_inf_count,neg_inf_count
CurrentPrice,price,35000,3.81,12.98,29.1995,69.37,129.45,149.09077714285715,202.06,338.35,499.59020000000004,682.62,103.80726125214139,0,0,0
AppliedPrice,price,35000,4.16,13.5999,29.33,70.39750000000001,131.89,151.24586857142856,204.7425,341.23049999999995,508.6329000000006,729.26,104.74629873029888,0,0,0
BasePrice,price,35000,4.35,12.9,30.26,69.17,127.59,148.31691285714285,201.28,337.95,500.27,668.11,102.81971785610749,0,0,0
price_change_amount,price,35000,-62.88000000000011,-31.730100000000018,-18.639999999999986,-3.0,1.3400000000000007,2.155091428571429,8.490000000000009,21.880500000000005,33.87020000000005,59.26999999999998,12.184690109087631,0,0,0
price_change_pct,price,35000,-0.12009854239375901,-0.10698690384635484,-0.09428142054892036,-0.029914172968295176,0.015986967603187484,0.02045866989692359,0.08999072260591681,0.10702888470665248,0.11879796982468117,0.12020316027088052,0.06800166860055547,0,0,0
price_vs_base_pct,price,35000,-0.22782281753025496,-0.1531700441598051,-0.1017991486546006,-0.03582236226051607,0.022517165314995674,0.023977131677996418,0.08682324134906111,0.14855751331838654,0.18141203204205875,0.2622442653440794,0.07914072630804862,0,0,0
current_vs_base_pct,price,35000,-0.22379352361259827,-0.1604723591405391,-0.10237705205318937,-0.01982815598149377,0.015110224880912801,0.0041735873211489385,0.039862021925589665,0.07410201759192352,0.09561670480813621,0.1500050745965697,0.053588089081793515,0,0,0
discount_from_base_pct,price,35000,-0.2622442653440794,-0.18141203204205875,-0.14855751331838657,-0.08682324134906111,-0.022517165314995674,-0.023977131677996418,0.03582236226051607,0.10179914865460046,0.1531700441598054,0.22782281753025496,0.07914072630804862,0,0,0
active_history_selling_price,price_history,35000,3.81,12.98,29.1995,69.37,129.45,149.09077714285715,202.06,338.35,499.59020000000004,682.62,103.80726125214139,0,0,0
history_discount_pct,price_history,35000,0.0,0.0,0.0,0.0,0.0,1.889816857142857,1.98,10.240499999999956,16.05,22.38,3.6505162113481755,0,0,0
days_since_current_price_started,price_history,35000,0.0030208333333333333,0.9999893518518518,5.447692708333333,26.699189814814815,52.886059027777776,54.010800405092596,79.51094328703704,110.48797858796296,119.72191516203704,121.99800925925926,32.20636223816634,0,0,0
previous_selling_price,price_history,35000,3.95,13.09,29.274,68.96,129.61,149.14333137600312,202.69,339.46,499.74120000000033,686.31,103.54225541823646,9455,0,0
previous_price_change_pct,price_history,35000,-0.13303269447576088,-0.12385955211501244,-0.10700850743677286,-0.014120580999561884,0.007697494100460752,0.0011480542072362316,0.028872366790582443,0.07592345349354697,0.10177761207079368,0.13297232250300847,0.049952094321477826,9455,0,0
decision_month,calendar,35000,1.0,1.0,1.0,4.0,7.0,6.747428571428571,10.0,12.0,12.0,12.0,3.4893358703808564,0,0,0
decision_quarter,calendar,35000,1.0,1.0,1.0,2.0,3.0,2.5788,4.0,4.0,4.0,4.0,1.123345381311681,0,0,0
decision_day_of_week,calendar,35000,0.0,0.0,0.0,1.0,3.0,2.9843714285714285,5.0,6.0,6.0,6.0,1.9936789480142236,0,0,0
decision_is_weekend,calendar,35000,0.0,0.0,0.0,0.0,0.0,0.27962857142857145,1.0,1.0,1.0,1.0,0.44881670364346704,0,0,0
active_promotion_flag,promotion,35000,0.0,0.0,0.0,0.0,0.0,0.02637142857142857,0.0,0.0,1.0,1.0,0.16023725012159504,0,0,0
active_promotion_discount_pct,promotion,35000,5.53,5.56,6.8,11.85,19.37,22.484962080173347,31.9,47.96,53.49,55.54,12.670261591243678,34077,0,0
is_holiday,holiday_weather,35000,0.0,0.0,0.0,0.0,0.0,0.05814285714285714,0.0,1.0,1.0,1.0,0.2340133870233121,0,0,0
product_store_sales_7d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.12337142857142858,0.0,1.0,3.0,11.0,0.5436722271849509,0,0,0
product_store_sales_14d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.2412,0.0,2.0,4.0,12.0,0.8132437624371042,0,0,0
