feature_name,row_count,non_null_count,null_count,coverage_pct
Channel,35000,35000,0,100.0
CategoryID,35000,35000,0,100.0
BrandID,35000,35000,0,100.0
Season,35000,35000,0,100.0
StoreType,35000,35000,0,100.0
RegionID,35000,35000,0,100.0
ClimateZone,35000,35000,0,100.0
CurrentPrice,35000,35000,0,100.0
AppliedPrice,35000,35000,0,100.0
BasePrice,35000,35000,0,100.0
price_change_amount,35000,35000,0,100.0
price_change_pct,35000,35000,0,100.0
price_vs_base_pct,35000,35000,0,100.0
current_vs_base_pct,35000,35000,0,100.0
discount_from_base_pct,35000,35000,0,100.0
active_history_selling_price,35000,35000,0,100.0
history_discount_pct,35000,35000,0,100.0
days_since_current_price_started,35000,35000,0,100.0
previous_selling_price,35000,25545,9455,72.985714
previous_price_change_pct,35000,25545,9455,72.985714
active_promotion_flag,35000,35000,0,100.0
active_promotion_discount_pct,35000,923,34077,2.637143
decision_month,35000,35000,0,100.0
decision_quarter,35000,35000,0,100.0
decision_day_of_week,35000,35000,0,100.0
decision_is_weekend,35000,35000,0,100.0
product_store_sales_7d,35000,35000,0,100.0
product_store_sales_14d,35000,35000,0,100.0
product_store_sales_30d,35000,35000,0,100.0
product_region_sales_7d,35000,35000,0,100.0
product_region_sales_14d,35000,35000,0,100.0
product_region_sales_30d,35000,35000,0,100.0
product_sales_7d,35000,35000,0,100.0
product_sales_14d,35000,35000,0,100.0
product_sales_30d,35000,35000,0,100.0
product_sales_60d,35000,35000,0,100.0
product_sales_90d,35000,35000,0,100.0
category_store_sales_7d,35000,35000,0,100.0
category_store_sales_14d,35000,35000,0,100.0
category_store_sales_30d,35000,35000,0,100.0
category_sales_7d,35000,35000,0,100.0
category_sales_14d,35000,35000,0,100.0
category_sales_30d,35000,35000,0,100.0
product_sales_velocity_7d,35000,1,34999,0.002857
product_sales_velocity_30d,35000,1,34999,0.002857
product_sales_velocity_90d,35000,1,34999,0.002857
product_sales_velocity_ratio_7d_30d,35000,1,34999,0.002857
days_since_last_product_sale,35000,33453,1547,95.58
is_holiday,35000,35000,0,100.0
holiday_sales_impact_factor,35000,2035,32965,5.814286
weather_temperature,35000,35000,0,100.0
weather_condition,35000,35000,0,100.0
weather_precipitation,35000,35000,0,100.0
