split,feature_name,known_train_levels,unseen_level_count,unseen_row_count,unseen_levels
validation,CategoryID,70,0,0,
validation,BrandID,150,0,0,
validation,Season,5,0,0,
validation,StoreType,3,0,0,
validation,RegionID,10,0,0,
validation,ClimateZone,10,0,0,
validation,Channel,6,0,0,
validation,weather_condition,8,0,0,
test,CategoryID,70,0,0,
test,BrandID,150,0,0,
test,Season,5,0,0,
test,StoreType,3,0,0,
test,RegionID,10,0,0,
test,ClimateZone,10,0,0,
test,Channel,6,0,0,
test,weather_condition,8,0,0,
