feature,importance,feature_group,conditional,price_related
cart_additions_24h,16.529338056311307,behavior,False,False
product_views_1h,10.723610784988974,behavior,False,False
cart_additions_168h,9.99988940281218,behavior,False,False
cart_additions_1h,7.264267708202252,behavior,False,False
cart_additions_720h,6.45947297704267,behavior,False,False
price_vs_base_pct,2.862368208439763,price,False,True
decision_month,2.2816617303596094,calendar,False,False
price_change_amount,2.2318189420568735,price,False,True
category_sales_14d,1.787049211065254,sales,False,False
days_since_current_price_started,1.744414081043596,price_history,False,False
discount_from_base_pct,1.6993376774674633,price,False,True
category_sales_7d,1.6977556872934236,sales,False,False
current_vs_base_pct,1.6943720059803304,price,False,True
price_change_pct,1.599011962999399,price,False,True
history_discount_pct,1.5196548719432728,price_history,False,False
Season,1.414734521749759,context,False,False
product_views_24h,1.3930634544299565,behavior,False,False
previous_price_change_pct,1.342530556213103,price_history,False,False
product_sales_velocity_90d,1.2205164327574476,sales,False,False
weather_temperature,1.1144953394057913,holiday_weather,False,False
category_sales_30d,1.092637653803718,sales,False,False
days_since_last_product_sale,1.0610953506285066,sales,False,False
holiday_sales_impact_factor,0.9590577625687464,holiday_weather,False,False
active_history_selling_price,0.9053937345933565,price_history,False,False
is_holiday,0.9046638669405112,holiday_weather,False,False
RegionID,0.8681070655285278,context,False,False
product_sales_30d,0.7986101904921344,sales,False,False
CategoryID,0.7830262535656874,context,False,False
BasePrice,0.7721336320302169,price,False,True
previous_selling_price,0.764219371695584,price_history,False,False
product_store_sales_30d,0.7478513807722718,sales,False,False
product_sales_velocity_30d,0.7343701665658422,sales,False,False
decision_day_of_week,0.6821227616743797,calendar,False,False
product_sales_90d,0.6740455635777367,sales,False,False
ClimateZone,0.6553840070547498,context,False,False
weather_condition,0.6524536545797638,holiday_weather,False,False
AppliedPrice,0.623367517530477,price,False,True
product_sales_7d,0.5906124595612767,sales,False,False
category_store_sales_7d,0.5336699602163394,sales,False,False
product_sales_velocity_ratio_7d_30d,0.532932910512639,sales,False,False
product_views_720h,0.5080256941668752,behavior,False,False
product_sales_14d,0.506037554376808,sales,False,False
BrandID,0.4957688777203846,context,False,False
search_clicks_1h,0.4858483743039087,behavior,False,False
product_region_sales_30d,0.4551894387741657,sales,False,False
product_sales_60d,0.4550590220472556,sales,False,False
search_clicks_720h,0.43408367775494117,behavior,False,False
StoreType,0.412497302007881,context,False,False
decision_quarter,0.3982114840649261,calendar,False,False
category_store_sales_14d,0.3899295454679894,sales,False,False
Channel,0.38229108749539537,context,False,False
product_views_168h,0.3663745038789896,behavior,False,False
weather_precipitation,0.36378685831110874,holiday_weather,False,False
CurrentPrice,0.3539093316593028,price,False,True
search_clicks_24h,0.34775535579826244,behavior,False,False
product_sales_velocity_7d,0.2739763077571336,sales,False,False
search_clicks_168h,0.25880721009858015,behavior,False,False
product_store_sales_14d,0.2501577530453155,sales,False,False
category_store_sales_30d,0.23182573342123056,sales,False,False
product_store_sales_7d,0.2070807348906085,sales,False,False
product_region_sales_14d,0.18606396502139771,sales,False,False
decision_is_weekend,0.17074855715125573,calendar,False,False
product_region_sales_7d,0.09381408228981657,sales,False,False
active_promotion_discount_pct,0.057638672041622686,promotion,False,False
active_promotion_flag,0.0,promotion,False,False
