trial_number,parameters,fold_1_log_loss,fold_2_log_loss,fold_3_log_loss,mean_log_loss,std_log_loss,mean_brier,mean_average_precision,mean_roc_auc,best_iteration_fold_1,best_iteration_fold_2,best_iteration_fold_3,duration_seconds,state,depth
0,"{""bagging_temperature"": 0.7800932022121826, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 10, ""iterations"": 3000, ""l2_leaf_reg"": 12.057126287443763, ""learning_rate"": 0.03553295925546116, ""loss_function"": ""Logloss"", ""random_strength"": 1.7959754525911098}",0.44973680283935447,0.4652939356073247,0.4670875746759183,0.4607061043741991,0.007790954900774615,0.1440854749714802,0.234471995004676,0.598181551849941,195,110,147,129.64182530000107,COMPLETE,10
1,"{""bagging_temperature"": 4.162213204002109, ""bootstrap_type"": ""Bayesian"", ""border_count"": 64, ""depth"": 8, ""iterations"": 3000, ""l2_leaf_reg"": 1.0725209743171995, ""learning_rate"": 0.05986958817842516, ""loss_function"": ""Logloss"", ""random_strength"": 2.909729556485983}",0.4537533084940468,0.46819304306629983,0.47038955458741044,0.46411196871591903,0.007379365235110722,0.14502665201997697,0.2236857673586361,0.5733569788441669,67,47,65,63.98687530000461,COMPLETE,8
2,"{""bagging_temperature"": 3.0592644736118975, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 7, ""iterations"": 3000, ""l2_leaf_reg"": 4.345454109729475, ""learning_rate"": 0.030222716826237984, ""loss_function"": ""Logloss"", ""random_strength"": 0.8736874205941257}",0.44961698949160495,0.4657018544838579,0.4686940864912128,0.4613376434888919,0.008377297125348111,0.1442682649901916,0.23051710888345087,0.5951018025557532,222,122,154,89.57102699999814,COMPLETE,7
3,"{""bagging_temperature"": 2.9620728443102124, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 9, ""iterations"": 3000, ""l2_leaf_reg"": 1.9721610970573997, ""learning_rate"": 0.04287076598710403, ""loss_function"": ""Logloss"", ""random_strength"": 1.5427033152408347}",0.4506082794613143,0.46661600678558884,0.46939180819745163,0.46220536481478486,0.008278307391058747,0.14448998525373277,0.2304383199392768,0.5871395302873575,81,62,86,88.47727619999205,COMPLETE,9
4,"{""bagging_temperature"": 1.5230688458668533, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 10, ""iterations"": 3000, ""l2_leaf_reg"": 26.690431824362527, ""learning_rate"": 0.017423798983869667, ""loss_function"": ""Logloss"", ""random_strength"": 2.4251920443493833}",0.4496738559076632,0.4649621824062902,0.4670830373485149,0.4605730252208227,0.007755360520705645,0.14404217434977298,0.2356611242899711,0.5997028053634952,516,479,450,305.3111164000002,COMPLETE,10
5,"{""bagging_temperature"": 1.2938999080000846, ""bootstrap_type"": ""Bayesian"", ""border_count"": 64, ""depth"": 7, ""iterations"": 3000, ""l2_leaf_reg"": 1.1240768803005543, ""learning_rate"": 0.019866872010149028, ""loss_function"": ""Logloss"", ""random_strength"": 2.7279612062363463}",0.44838207343308195,0.46479896897021217,0.46731326140669033,0.46016476793666145,0.0083946146998158,0.1439123240091813,0.23718843647527033,0.6007392656821559,476,381,340,183.86032770000747,COMPLETE,7
6,"{""bagging_temperature"": 4.697494707820946, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 5, ""iterations"": 3000, ""l2_leaf_reg"": 27.05166881899929, ""learning_rate"": 0.05282038208201802, ""loss_function"": ""Logloss"", ""random_strength"": 2.3253984700833437}",0.4497688905379132,0.4658020989690512,0.4685417008178535,0.46137089677493925,0.008279745008774321,0.14426361408219449,0.23387503653733668,0.5917049135006666,288,327,230,89.99178720000782,COMPLETE,5
7,"{""bagging_temperature"": 1.9433864484474102, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 5, ""iterations"": 3000, ""l2_leaf_reg"": 1.166289027393138, ""learning_rate"": 0.018390086038781284, ""loss_function"": ""Logloss"", ""random_strength"": 0.975990992289793}",0.44970521555485776,0.46497921963407907,0.4672032666885511,0.46062923395916267,0.007777627311647185,0.14408154198305115,0.23399565554992577,0.601693108115504,456,572,428,145.23063629999524,COMPLETE,5
8,"{""bagging_temperature"": 0.3727532183988541, ""bootstrap_type"": ""Bayesian"", ""border_count"": 64, ""depth"": 7, ""iterations"": 3000, ""l2_leaf_reg"": 1.6149614799999181, ""learning_rate"": 0.02864347920156805, ""loss_function"": ""Logloss"", ""random_strength"": 2.406590942262119}",0.4491938423760822,0.465028200484049,0.4667971153547798,0.4603397194049703,0.007914341244950867,0.14401000507196166,0.2362008668639831,0.6022750417854335,278,213,315,115.02458230000047,COMPLETE,7
9,"{""bagging_temperature"": 3.8563517334297286, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 9, ""iterations"": 3000, ""l2_leaf_reg"": 11.06914321939345, ""learning_rate"": 0.015191944885997219, ""loss_function"": ""Logloss"", ""random_strength"": 2.1870215041229617}",0.4507383719506536,0.4659327527732302,0.4688894245081067,0.46185351641066347,0.007951742124093369,0.14441404914110023,0.22974851467490157,0.5882681491918368,475,339,341,204.26994399999967,COMPLETE,9
