trial_number,trial,parameters,loss,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_1_mae,fold_2_mae,fold_3_mae,fold_1_poisson_deviance,fold_2_poisson_deviance,fold_3_poisson_deviance,fold_1_r2,fold_2_r2,fold_3_r2,mean_rmse,std_rmse,mean_mae,mean_poisson_deviance,mean_r2,best_iteration_fold_1,best_iteration_fold_2,best_iteration_fold_3,mean_effective_trees,depth,duration_seconds,state
0,0,"{""bagging_temperature"": 0.7799726016810132, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 7, ""iterations"": 1061, ""l2_leaf_reg"": 10.401663679887308, ""learning_rate"": 0.1339077045653044, ""loss_function"": ""RMSE"", ""random_strength"": 0.46805592132730955}",RMSE,0.6208141205165411,0.6605044808911665,0.6397843315439624,0.4608370789406701,0.48326839508425234,0.4815573958745471,0.23694090955810282,0.2640777846351753,0.24975098630997533,0.0007104087093203759,-0.0027871610827738813,-0.000959690561140425,0.6403676443172234,0.016208770609570138,0.4752209566331565,0.25025656016775116,-0.0010121476448646434,1,10,0,4.666666666666667,7,45.016715799996746,COMPLETE
1,1,"{""bagging_temperature"": 0.9091248360355031, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 8, ""iterations"": 1829, ""l2_leaf_reg"": 25.95942550311264, ""learning_rate"": 0.015728081587791917, ""loss_function"": ""RMSE"", ""random_strength"": 0.6370173320348285}",RMSE,0.6211010066280999,0.6597776446267819,0.63959742643913,0.4620275006415765,0.49220482604091065,0.4799797935363224,0.23721505927146322,0.2633264155679685,0.24956920609796648,-0.00021337358061912504,-0.000581389386010267,-0.0003749399210788429,0.6401586925646706,0.01579465830522107,0.4780707067396032,0.2500368936457994,-0.00038990096256941165,0,308,3,104.66666666666667,8,84.9104234999977,COMPLETE
2,2,"{""bagging_temperature"": 1.8318092164684585, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 6, ""iterations"": 1193, ""l2_leaf_reg"": 1.7258215396624996, ""learning_rate"": 0.029330562994117862, ""loss_function"": ""RMSE"", ""random_strength"": 0.8764339456056545}",RMSE,0.6208974304163047,0.659883965293244,0.6395938988328593,0.4622237489314225,0.49166705585837533,0.4802706911433285,0.2370205117212364,0.2633936657862751,0.2495656587068368,0.00044219218900654056,-0.00090389516535061,-0.0003639051075114974,0.6401250981808028,0.015920617764147677,0.4780538319777088,0.24999327873811608,-0.00027520269461852226,1,117,0,40.333333333333336,6,45.77954549998685,COMPLETE
3,3,"{""bagging_temperature"": 0.3252579649263976, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 3, ""iterations"": 1383, ""l2_leaf_reg"": 10.769622478263129, ""learning_rate"": 0.05868212442824542, ""loss_function"": ""RMSE"", ""random_strength"": 0.5115723710618746}",RMSE,0.6211082604756977,0.6605984312073739,0.6395836538068722,0.4608648819657354,0.48713108827495555,0.480826596933507,0.23721977614786963,0.26414987448845323,0.24955573958610866,-0.00023673672982593708,-0.003072454745358222,-0.00033185767197263516,0.6404301151633146,0.016132901551905204,0.47627418905806596,0.2503084634074772,-0.0012136830490522648,4,10,0,5.666666666666667,3,18.123566800000845,COMPLETE
4,4,"{""bagging_temperature"": 2.475884550556351, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 7, ""iterations"": 900, ""l2_leaf_reg"": 5.595074635794794, ""learning_rate"": 0.018782931430590583, ""loss_function"": ""RMSE"", ""random_strength"": 0.3661147045343365}",RMSE,0.6209093542650348,0.6590384453790795,0.6395570626662582,0.46200365372405594,0.49044297266345693,0.4801278742872395,0.2370311766255847,0.26261685874826246,0.24952979498615613,0.0004038003711090976,0.0016594100254456734,-0.0002486803988401842,0.6398349541034576,0.015567376465629066,0.47752483355825076,0.24972594345333443,0.0006048433325715289,18,220,0,80.33333333333333,7,64.67229440000665,COMPLETE
5,5,"{""bagging_temperature"": 4.847923138822793, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 6, ""iterations"": 1724, ""l2_leaf_reg"": 8.48876216140871, ""learning_rate"": 0.030746970781425263, ""loss_function"": ""RMSE"", ""random_strength"": 0.5545633665765811}",RMSE,0.62104532000518,0.6603016521256078,0.6397864639616477,0.46206107688868,0.4896887814375935,0.4805374816479167,0.23716153933659379,0.26385586902158437,0.24975413887823328,-3.40275242654009e-05,-0.0021713806949188452,-0.0009663630212126684,0.6403778120308118,0.01603178451891763,0.4774291133247301,0.2502571824121372,-0.001057257080132305,3,47,0,17.666666666666668,6,39.86580469999171,COMPLETE
6,6,"{""bagging_temperature"": 1.6266516538163218, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 3, ""iterations"": 1575, ""l2_leaf_reg"": 2.1526280972215273, ""learning_rate"": 0.1253041613296764, ""loss_function"": ""RMSE"", ""random_strength"": 0.1356818667316142}",RMSE,0.6209057952519864,0.6598301026580609,0.6397972866440307,0.46122937169001554,0.4951597411068201,0.48370487417149705,0.23703096020125297,0.2633973714280758,0.24976228132181197,0.0004152595823361249,-0.0007405054666935751,-0.0010002281723542339,0.6401777281846927,0.015893058832606586,0.48003132898944423,0.25006353765038025,-0.00044182468557056137,0,20,3,8.666666666666666,3,18.498707799997646,COMPLETE
7,7,"{""bagging_temperature"": 0.3727532183988541, ""bootstrap_type"": ""Bayesian"", ""border_count"": 64, ""depth"": 6, ""iterations"": 1020, ""l2_leaf_reg"": 1.7355056469855072, ""learning_rate"": 0.02864347920156805, ""loss_function"": ""RMSE"", ""random_strength"": 2.406590942262119}",RMSE,0.6205412561158042,0.6602546000492786,0.6395662574852712,0.4621217631464462,0.49188963137813496,0.48056418879995094,0.23667494456541405,0.2638892138847105,0.24953875977983606,0.0015886446368932328,-0.0020285594129236806,-0.00027744146562769245,0.6401207045501179,0.016217644306030683,0.4781918611081774,0.25003430607665356,-0.0002391187472193801,27,257,3,96.66666666666667,6,54.59743690000323,COMPLETE
8,8,"{""bagging_temperature"": 0.3702232586704518, ""bootstrap_type"": ""Bayesian"", ""border_count"": 254, ""depth"": 7, ""iterations"": 212, ""l2_leaf_reg"": 17.320535358459537, ""learning_rate"": 0.09807372876777057, ""loss_function"": ""RMSE"", ""random_strength"": 2.3138110400578373}",RMSE,0.6208528900933863,0.659473383833937,0.6395494053059599,0.46191503851005866,0.48717455511484953,0.48045644590260944,0.23697388362717622,0.2630097781976291,0.24952222317608838,0.0005855943952395304,0.0003412471798085459,-0.00022472876378243356,0.6399585597444277,0.01576940475957307,0.47651534650917254,0.2498352950002979,0.00023403760375521424,3,18,0,8.0,7,41.83867399999872,COMPLETE
9,9,"{""bagging_temperature"": 3.64803089169032, ""bootstrap_type"": ""Bayesian"", ""border_count"": 128, ""depth"": 3, ""iterations"": 1634, ""l2_leaf_reg"": 3.375589571206082, ""learning_rate"": 0.03213581243467357, ""loss_function"": ""RMSE"", ""random_strength"": 0.9755499660802411}",RMSE,0.6210272437533575,0.6594268247089671,0.6395878492965624,0.46215822685744934,0.4927090939817961,0.4799921596779917,0.2371448897542711,0.2629934395578452,0.24955978700142348,2.4185953096278467e-05,0.0004823949348319312,-0.0003449815088183428,0.6400139725862957,0.01567945875309781,0.47828649350574565,0.24989937210451327,5.386645970328896e-05,4,205,0,70.66666666666667,3,27.545100399991497,COMPLETE
