feature,importance,feature_group,conditional,price_related
current_vs_base_pct,7.502332744111989,CORE,False,True
days_since_current_price_started,7.070934963134824,CORE,False,False
days_since_last_product_sale,6.943914634903794,CORE,False,False
price_change_amount,6.267167606083978,CORE,False,True
price_change_pct,5.964639958203678,CORE,False,True
decision_day_of_week,4.624446549737821,CORE,False,False
CurrentPrice,3.6552877539312685,CORE,False,True
cart_additions_1h,3.6544453989641146,BEHAVIOR_CONTEXT,False,False
category_sales_14d,3.585774550839326,CORE,False,False
previous_selling_price,3.5755779422354736,CORE,False,False
weather_temperature,3.333673504463799,CORE,False,False
active_history_selling_price,2.7945482268518065,CORE,False,False
BasePrice,2.6980934751257633,CORE,False,True
price_vs_base_pct,2.5288662463525515,CORE,False,True
previous_price_change_pct,2.2465667782185093,CORE,False,False
Season,2.2113845003068846,CORE,False,False
product_sales_90d,2.134501331500557,CORE,False,False
category_sales_7d,2.0540970712148185,CORE,False,False
discount_from_base_pct,1.9959495288848252,CORE,False,True
AppliedPrice,1.8129873066380275,CORE,False,True
weather_precipitation,1.7931055802189317,CORE,False,False
category_sales_30d,1.7124582998996878,CORE,False,False
Channel,1.7120899690055316,CORE,False,False
product_sales_velocity_30d,1.4604224388260114,CORE,False,False
StoreType,1.4309912779595564,CORE,False,False
product_sales_velocity_90d,1.372196583348347,CORE,False,False
cart_additions_24h,1.3546869232820584,BEHAVIOR_CONTEXT,False,False
history_discount_pct,1.1767956260718992,CORE,False,False
product_sales_30d,1.1099303723030578,CORE,False,False
search_clicks_1h,0.9508667902999809,BEHAVIOR_CONTEXT,False,False
search_clicks_168h,0.9338879686953429,BEHAVIOR_CONTEXT,False,False
product_store_sales_30d,0.867158481778005,CORE,False,False
product_sales_14d,0.7417459782515284,CORE,False,False
product_sales_velocity_ratio_7d_30d,0.7160568032340867,CORE,False,False
weather_condition,0.6708505182690319,CORE,False,False
product_sales_60d,0.6378069063282024,CORE,False,False
decision_month,0.6109622438273669,CORE,False,False
holiday_sales_impact_factor,0.6025410069698974,CORE,False,False
cart_additions_720h,0.588828483244604,BEHAVIOR_CONTEXT,False,False
decision_quarter,0.5610445143866525,CORE,False,False
category_store_sales_14d,0.554337197884783,CORE,False,False
RegionID,0.5295721663555545,CORE,False,False
product_views_720h,0.3532497593657381,BEHAVIOR_CONTEXT,False,False
product_region_sales_30d,0.3117161754086836,CORE,False,False
product_sales_7d,0.30458375190605447,CORE,False,False
category_store_sales_7d,0.22708485315131588,CORE,False,False
product_store_sales_7d,0.0598392580242679,CORE,False,False
BrandID,0.0,CORE,False,False
CategoryID,0.0,CORE,False,False
ClimateZone,0.0,CORE,False,False
active_promotion_discount_pct,0.0,CORE,False,False
active_promotion_flag,0.0,CORE,False,False
cart_additions_168h,0.0,BEHAVIOR_CONTEXT,False,False
category_store_sales_30d,0.0,CORE,False,False
decision_is_weekend,0.0,CORE,False,False
is_holiday,0.0,CORE,False,False
product_region_sales_14d,0.0,CORE,False,False
product_region_sales_7d,0.0,CORE,False,False
product_sales_velocity_7d,0.0,CORE,False,False
product_store_sales_14d,0.0,CORE,False,False
product_views_168h,0.0,BEHAVIOR_CONTEXT,False,False
product_views_1h,0.0,BEHAVIOR_CONTEXT,False,False
product_views_24h,0.0,BEHAVIOR_CONTEXT,False,False
search_clicks_24h,0.0,BEHAVIOR_CONTEXT,False,False
search_clicks_720h,0.0,BEHAVIOR_CONTEXT,False,False
