split,candidate_multiplier,decision_count,percentage
test,0.9,1,0.01904761904761905
test,0.925,8,0.1523809523809524
test,0.95,7,0.13333333333333333
test,0.975,1,0.01904761904761905
test,1.05,6,0.1142857142857143
test,1.075,105,2.0
test,1.1,5122,97.56190476190476
validation,0.9,2,0.0380952380952381
validation,0.925,3,0.05714285714285715
validation,0.95,8,0.1523809523809524
validation,1.05,2,0.0380952380952381
validation,1.075,82,1.561904761904762
validation,1.1,5153,98.15238095238095
