split,segment,value,support,mean_recommended_multiplier,no_change_rate,increase_rate,decrease_rate,boundary_rate,mean_expected_profit_uplift
validation,Channel,Email,1127,1.099068322981366,0.0,0.9964507542147294,0.00354924578527063,0.9840283939662822,2.6786792039022433
validation,Channel,Kiosk,702,1.099145299145299,0.0,0.9985754985754985,0.0014245014245014246,0.9772079772079773,2.624808468485228
validation,Channel,Mobile,1978,1.0990647118301313,0.0,0.9964610717896866,0.003538928210313448,0.9817997977755308,2.6334861941335896
validation,Channel,Online,162,1.0996913580246912,0.0,1.0,0.0,0.9876543209876543,2.4989702427071374
validation,Channel,Store,453,1.099061810154525,0.0,0.9977924944812362,0.002207505518763797,0.9757174392935982,2.0657341216475165
validation,Channel,Web,828,1.09963768115942,0.0,1.0,0.0,0.9855072463768116,2.5299591399803174
validation,Season,All,2430,1.0990534979423867,0.0,0.997119341563786,0.002880658436213992,0.9777777777777777,2.685081137467465
validation,Season,Fall,576,1.0992621527777777,0.0,1.0,0.0,0.9704861111111112,2.259171436914593
validation,Season,Spring,901,1.0994728079911207,0.0,0.9988901220865705,0.0011098779134295228,0.9900110987791343,2.673280457269413
validation,Season,Summer,673,1.0994056463595838,0.0,0.9970282317979198,0.0029717682020802376,0.9910846953937593,2.3627040476846113
validation,Season,Winter,670,1.0989925373134326,0.0,0.9955223880597015,0.004477611940298508,0.9865671641791045,2.5092301137299318
validation,RegionID,REG000001,308,1.098457792207792,0.0,0.9935064935064936,0.006493506493506494,0.974025974025974,2.7877574014094066
validation,RegionID,REG000002,498,1.0989959839357428,0.0,0.9959839357429718,0.004016064257028112,0.9859437751004017,2.7784805831387245
validation,RegionID,REG000003,508,1.099064960629921,0.0,0.9960629921259843,0.003937007874015748,0.9881889763779528,2.556927212119238
validation,RegionID,REG000004,676,1.0994822485207099,0.0,1.0,0.0,0.9792899408284024,2.4387256953476326
validation,RegionID,REG000005,662,1.0989425981873109,0.0,0.9954682779456193,0.004531722054380665,0.9818731117824774,2.805650953246131
validation,RegionID,REG000006,610,1.099262295081967,0.0,0.9967213114754099,0.003278688524590164,0.9885245901639345,2.6923070196383043
validation,RegionID,REG000007,677,1.0990029542097486,0.0,0.9970457902511078,0.0029542097488921715,0.9778434268833087,2.620485388748311
validation,RegionID,REG000008,443,1.099379232505643,0.0,1.0,0.0,0.9751693002257337,2.2240917192643543
validation,RegionID,REG000009,484,1.09948347107438,0.0,1.0,0.0,0.9793388429752066,2.152533876788566
validation,RegionID,REG000010,384,1.0996744791666666,0.0,1.0,0.0,0.9869791666666666,2.644045705572506
validation,CategoryID,CAT000011,110,1.0990909090909087,0.0,1.0,0.0,0.9636363636363636,1.580432468045714
validation,CategoryID,CAT000012,131,1.0999999999999996,0.0,1.0,0.0,1.0,1.544048022917946
validation,CategoryID,CAT000014,157,1.0993630573248403,0.0,1.0,0.0,0.9745222929936306,1.6540602389810293
validation,CategoryID,CAT000016,114,1.0997807017543857,0.0,1.0,0.0,0.9912280701754386,1.5429968721437946
validation,CategoryID,CAT000017,121,1.099586776859504,0.0,1.0,0.0,0.9834710743801653,1.4471815345534351
validation,CategoryID,CAT000018,108,1.0990740740740736,0.0,1.0,0.0,0.9629629629629629,2.697892715840514
validation,CategoryID,CAT000019,150,1.098333333333333,0.0,1.0,0.0,0.9333333333333333,2.4067111302064785
validation,CategoryID,CAT000021,131,1.0998091603053435,0.0,1.0,0.0,0.9923664122137404,2.1819210776663476
validation,CategoryID,CAT000022,108,1.0990740740740736,0.0,1.0,0.0,0.9814814814814815,2.373782782933497
validation,CategoryID,CAT000024,126,1.0998015873015867,0.0,1.0,0.0,0.9920634920634921,2.4068481739278957
validation,CategoryID,CAT000041,104,1.0975961538461536,0.0,0.9903846153846154,0.009615384615384616,0.9519230769230769,5.131564057043482
validation,CategoryID,CAT000043,104,1.0995192307692305,0.0,1.0,0.0,0.9807692307692307,4.530044703077173
validation,CategoryID,CAT000045,104,1.094951923076923,0.0,0.9807692307692307,0.019230769230769232,0.8942307692307693,5.0564717906113446
validation,CategoryID,CAT000048,118,1.09978813559322,0.0,1.0,0.0,0.9915254237288136,3.4310457391703837
validation,CategoryID,CAT000050,104,1.0997596153846152,0.0,1.0,0.0,0.9903846153846154,3.483237909122381
validation,CategoryID,CAT000052,124,1.0995967741935482,0.0,1.0,0.0,0.9838709677419355,3.7472683073904958
validation,CategoryID,CAT000057,110,1.0999999999999994,0.0,1.0,0.0,1.0,1.073462858332072
validation,CategoryID,CAT000064,112,1.0999999999999999,0.0,1.0,0.0,1.0,1.1213441476286587
validation,CategoryID,CAT000065,155,1.0999999999999996,0.0,1.0,0.0,1.0,0.6491902917578677
validation,StoreType,Outlet,694,1.098631123919308,0.0,0.9927953890489913,0.007204610951008645,0.984149855907781,2.3788912488040044
validation,StoreType,Suburban,2304,1.099099392361111,0.0,0.9973958333333334,0.0026041666666666665,0.9796006944444444,2.7127543570248873
validation,StoreType,Urban,2252,1.0994449378330373,0.0,0.9991119005328597,0.0008880994671403197,0.9835701598579041,2.488811296067479
test,Channel,Email,1107,1.099345076784101,0.0,0.999096657633243,0.0009033423667570009,0.981029810298103,2.59475230592224
test,Channel,Kiosk,742,1.0984838274932611,0.0,0.9946091644204852,0.005390835579514825,0.9730458221024259,2.6374831337855595
test,Channel,Mobile,2072,1.0988055019305016,0.0,0.9956563706563707,0.004343629343629344,0.9753861003861004,2.5933362673953093
test,Channel,Online,146,1.0976027397260273,0.0,0.9931506849315068,0.00684931506849315,0.9452054794520548,2.5213835830488933
test,Channel,Store,427,1.0987704918032783,0.0,1.0,0.0,0.955503512880562,1.9644506393260737
test,Channel,Web,756,1.0993386243386243,0.0,0.9973544973544973,0.0026455026455026454,0.9894179894179894,2.7299287248306916
test,Season,All,2363,1.0986881083368596,0.0,0.9966144731273805,0.0033855268726195515,0.9691070672873466,2.5948743818858633
test,Season,Fall,591,1.099280879864636,0.0,1.0,0.0,0.9712351945854484,2.456945596103047
test,Season,Spring,935,1.0995989304812832,0.0,0.9989304812834224,0.0010695187165775401,0.9882352941176471,2.7573338575254644
test,Season,Summer,702,1.0995014245014243,0.0,0.9985754985754985,0.0014245014245014246,0.9871794871794872,2.437490542937457
test,Season,Winter,659,1.097799696509863,0.0,0.9893778452200304,0.010622154779969651,0.9742033383915023,2.4288255636352956
test,RegionID,REG000001,322,1.099223602484472,0.0,1.0,0.0,0.968944099378882,2.6131080290227797
test,RegionID,REG000002,517,1.099468085106383,0.0,1.0,0.0,0.9825918762088974,2.650902894010258
test,RegionID,REG000003,548,1.0974452554744523,0.0,0.9890510948905109,0.010948905109489052,0.9598540145985401,2.6025214041813385
test,RegionID,REG000004,711,1.0992264416315047,0.0,0.9985935302390999,0.0014064697609001407,0.9831223628691983,2.426040017515268
test,RegionID,REG000005,695,1.0986690647482011,0.0,0.9942446043165467,0.0057553956834532375,0.9784172661870504,2.73842203105208
test,RegionID,REG000006,592,1.0989864864864862,0.0,0.9983108108108109,0.0016891891891891893,0.9679054054054054,2.7049626187751663
test,RegionID,REG000007,649,1.0982280431432971,0.0,0.9922958397534669,0.007704160246533128,0.9722650231124808,2.68492884290876
test,RegionID,REG000008,439,1.0993166287015943,0.0,1.0,0.0,0.9726651480637813,2.2536251018290088
test,RegionID,REG000009,431,1.0997679814385148,0.0,1.0,0.0,0.9907192575406032,2.3793472748431124
test,RegionID,REG000010,346,1.0995664739884392,0.0,1.0,0.0,0.9826589595375722,2.452689931964442
test,CategoryID,CAT000011,135,1.0992592592592592,0.0,1.0,0.0,0.9703703703703703,1.8293409795753377
test,CategoryID,CAT000012,169,1.0994082840236683,0.0,1.0,0.0,0.9822485207100592,1.8343544273569834
test,CategoryID,CAT000014,157,1.0998407643312098,0.0,1.0,0.0,0.9936305732484076,1.7072607992003757
test,CategoryID,CAT000016,104,1.0997596153846152,0.0,1.0,0.0,0.9903846153846154,1.828355573945124
test,CategoryID,CAT000017,132,1.09905303030303,0.0,1.0,0.0,0.9621212121212122,1.4968994568105543
test,CategoryID,CAT000019,131,1.0988549618320609,0.0,1.0,0.0,0.9541984732824428,2.3913288958263954
test,CategoryID,CAT000021,119,1.099789915966386,0.0,1.0,0.0,0.9915966386554622,2.4253524958121506
test,CategoryID,CAT000022,107,1.0999999999999996,0.0,1.0,0.0,1.0,2.402304404587461
test,CategoryID,CAT000024,122,1.0997950819672127,0.0,1.0,0.0,0.9918032786885246,2.4409362616218986
test,CategoryID,CAT000034,100,1.0987499999999997,0.0,1.0,0.0,0.95,2.250280944445016
test,CategoryID,CAT000043,122,1.099385245901639,0.0,1.0,0.0,0.9754098360655737,4.5538429787895645
test,CategoryID,CAT000045,118,1.097881355932203,0.0,0.9915254237288136,0.00847457627118644,0.9661016949152542,4.885878297148915
test,CategoryID,CAT000046,110,1.0995454545454542,0.0,1.0,0.0,0.9818181818181818,2.689508120745325
test,CategoryID,CAT000047,117,1.0999999999999996,0.0,1.0,0.0,1.0,3.7163856809191578
test,CategoryID,CAT000048,131,1.0994274809160303,0.0,1.0,0.0,0.9770992366412213,3.456728123699583
test,CategoryID,CAT000050,139,1.0980215827338125,0.0,0.9928057553956835,0.007194244604316547,0.9784172661870504,3.541738159724159
test,CategoryID,CAT000052,121,1.0999999999999996,0.0,1.0,0.0,1.0,3.4133790849158836
test,CategoryID,CAT000057,112,1.0997767857142855,0.0,1.0,0.0,0.9910714285714286,1.1561479624754558
test,CategoryID,CAT000064,119,1.0999999999999996,0.0,1.0,0.0,1.0,1.0783230241535997
test,CategoryID,CAT000065,147,1.0952380952380951,0.0,1.0,0.0,0.8231292517006803,0.6043491951282923
test,StoreType,Outlet,687,1.0984716157205239,0.0,0.9956331877729258,0.004366812227074236,0.9621542940320232,2.493326331867641
test,StoreType,Suburban,2266,1.0985767872903796,0.0,0.9942630185348632,0.005736981465136805,0.9770520741394528,2.671255463349055
test,StoreType,Urban,2297,1.0993796255986068,0.0,0.999564649542882,0.00043535045711797995,0.978667827601219,2.4847995237767657
